iter	Logloss
0	0.6458137321
1	0.605085471
2	0.575495589
3	0.5538960938
4	0.5323133939
5	0.5146109475
6	0.4990054264
7	0.4872686953
8	0.4780944477
9	0.4702681225
10	0.4633962742
11	0.4572303951
12	0.4527930659
13	0.4481122724
14	0.4443731862
15	0.4405388723
16	0.437903448
17	0.4351788694
18	0.4328923025
19	0.4305960293
20	0.4284716447
21	0.4267368413
22	0.4252274085
23	0.4238854718
24	0.4227218081
25	0.4214235425
26	0.4203562792
27	0.4194326379
28	0.4186043862
29	0.4177185352
30	0.4170576733
31	0.416416281
32	0.4156988082
33	0.4151657356
34	0.4145644782
35	0.4139671187
36	0.4135463145
37	0.413028598
38	0.4126185567
39	0.4121513802
40	0.4117135054
41	0.4112690522
42	0.4108260668
43	0.4105668159
44	0.4100557615
45	0.4096485448
46	0.4093153097
47	0.4089128653
48	0.4085991425
49	0.408323078
50	0.4079156398
51	0.4077179874
52	0.4073823095
53	0.4071177222
54	0.4068418082
55	0.4065531046
56	0.4061800384
57	0.4059715911
58	0.4056706894
59	0.4053579668
60	0.4050996991
61	0.4048358152
62	0.4046226503
63	0.4044059794
64	0.4041482373
65	0.4039714999
66	0.4037002309
67	0.4034872787
68	0.4033836432
69	0.4032087308
70	0.4029953273
71	0.4028280831
72	0.4026488266
73	0.4024732808
74	0.4022070881
75	0.4020121842
76	0.4018165823
77	0.4015934079
78	0.4013959749
79	0.4012364514
80	0.4009851802
81	0.4008066894
82	0.4005628443
83	0.4003774491
84	0.4002263291
85	0.3999310435
86	0.3997453881
87	0.3995154774
88	0.3993914259
89	0.3991188181
90	0.3989949726
91	0.398862195
92	0.3986726134
93	0.3985625562
94	0.398476389
95	0.3982583549
96	0.398094334
97	0.3979590227
98	0.3977778512
99	0.3976013883
100	0.3974638417
101	0.3972270008
102	0.3971059635
103	0.3970271935
104	0.3968981064
105	0.3967250623
106	0.396604664
107	0.3964624449
108	0.3962351173
109	0.3961424638
110	0.3960768216
111	0.3958921451
112	0.3956668765
113	0.3955226091
114	0.3953245041
115	0.3951723033
116	0.3950556208
117	0.3949555032
118	0.3947377
119	0.3945896877
120	0.394463051
121	0.3943002943
122	0.3941758812
123	0.3939746528
124	0.3938754257
125	0.3937311452
126	0.3936049576
127	0.3934263212
128	0.3932463215
129	0.3931158485
130	0.3929564709
131	0.3927887132
132	0.3926006571
