iter	Passed	Remaining
0	57	57759
1	112	56166
2	165	55028
3	218	54516
4	272	54306
5	324	53773
6	375	53217
7	436	54183
8	489	53899
9	540	53476
10	591	53148
11	642	52871
12	691	52482
13	740	52124
14	799	52501
15	851	52349
16	900	52093
17	953	52018
18	1005	51898
19	1053	51644
20	1107	51618
21	1155	51358
22	1202	51096
23	1251	50892
24	1302	50807
25	1352	50656
26	1401	50493
27	1471	51070
28	1521	50935
29	1570	50774
30	1620	50646
31	1670	50536
32	1719	50385
33	1772	50350
34	1826	50371
35	1875	50220
36	1923	50063
37	1971	49920
38	2023	49857
39	2072	49734
40	2119	49573
41	2170	49497
42	2217	49359
43	2270	49324
44	2320	49239
45	2368	49129
46	2431	49308
47	2484	49285
48	2532	49149
49	2582	49058
50	2631	48957
51	2681	48884
52	2730	48779
53	2787	48829
54	2836	48734
55	2884	48620
56	2932	48518
57	2982	48433
58	3030	48341
59	3080	48256
60	3126	48132
61	3177	48076
62	3224	47963
63	3271	47852
64	3320	47761
65	3367	47656
66	3434	47830
67	3481	47722
68	3529	47617
69	3577	47528
70	3625	47437
71	3674	47358
72	3722	47276
73	3780	47305
74	3836	47313
75	3883	47220
76	3934	47166
77	3983	47083
78	4032	47016
79	4081	46937
80	4132	46889
81	4180	46805
82	4230	46739
83	4277	46644
84	4327	46580
85	4379	46543
86	4443	46632
87	4494	46576
88	4542	46495
89	4593	46445
90	4642	46374
91	4692	46313
92	4742	46253
93	4797	46236
94	4844	46148
95	4895	46098
96	4943	46017
97	4992	45951
98	5039	45867
99	5092	45828
100	5142	45774
101	5192	45716
102	5241	45650
103	5289	45574
104	5340	45518
105	5391	45467
106	5450	45486
107	5499	45421
108	5548	45354
109	5597	45285
110	5644	45210
111	5693	45141
112	5745	45101
113	5798	45065
114	5847	45003
115	5898	44948
116	5946	44877
117	5992	44793
118	6042	44735
119	6093	44686
120	6142	44619
121	6188	44539
122	6235	44459
123	6286	44409
124	6333	44336
125	6383	44278
126	6444	44297
127	6494	44241
128	6542	44175
129	6591	44111
130	6643	44069
131	6693	44016
132	6743	43961
133	6794	43909
134	6844	43853
135	6892	43787
136	6940	43717
137	6987	43646
138	7032	43563
139	7085	43522
140	7133	43457
141	7183	43402
142	7230	43333
143	7280	43278
144	7329	43217
145	7379	43164
146	7440	43173
147	7487	43101
148	7533	43028
149	7581	42959
150	7631	42909
151	7680	42847
152	7729	42789
153	7782	42752
154	7830	42687
155	7880	42634
156	7927	42568
157	7974	42497
158	8021	42426
159	8069	42365
160	8122	42328
161	8171	42272
162	8220	42210
163	8268	42149
164	8319	42100
165	8365	42029
166	8427	42035
167	8476	41977
168	8525	41920
169	8573	41860
170	8622	41803
171	8674	41756
172	8720	41686
173	8775	41657
174	8823	41597
175	8877	41563
176	8927	41511
177	8979	41465
178	9027	41403
179	9079	41360
180	9125	41292
181	9175	41237
182	9224	41183
183	9276	41139
184	9324	41077
185	9376	41034
186	9441	41046
187	9488	40982
188	9538	40928
189	9589	40882
190	9633	40803
191	9683	40752
192	9734	40702
193	9781	40637
194	9831	40586
195	9880	40532
196	9929	40473
197	9976	40408
198	10027	40363
199	10075	40300
200	10122	40239
201	10172	40185
202	10219	40122
203	10267	40063
204	10316	40007
205	10365	39953
206	10427	39948
207	10476	39892
208	10525	39835
209	10575	39785
210	10628	39744
211	10676	39685
212	10730	39647
213	10784	39611
214	10834	39558
215	10884	39508
216	10931	39443
217	10983	39400
218	11030	39338
219	11082	39290
220	11132	39239
221	11185	39199
222	11235	39146
223	11284	39091
224	11337	39051
225	11400	39042
226	11449	38988
227	11500	38941
228	11546	38875
229	11596	38823
230	11645	38767
231	11697	38722
232	11753	38689
233	11801	38630
234	11849	38574
235	11899	38522
236	11948	38466
237	11996	38407
238	12047	38360
239	12098	38312
240	12149	38262
241	12197	38205
242	12246	38149
243	12299	38109
244	12350	38058
245	12416	38058
246	12465	38003
247	12514	37946
248	12562	37889
249	12612	37838
250	12661	37783
251	12709	37726
252	12762	37682
253	12811	37628
254	12861	37574
255	12911	37522
256	12957	37460
257	13006	37407
258	13059	37361
259	13107	37307
260	13156	37251
261	13204	37194
262	13255	37145
263	13302	37086
264	13350	37030
265	13417	37025
266	13466	36968
267	13514	36913
268	13563	36857
269	13616	36814
270	13664	36758
271	13713	36704
272	13764	36654
273	13813	36600
274	13861	36544
275	13914	36501
276	13962	36442
277	14011	36388
278	14058	36331
279	14105	36270
280	14153	36215
281	14201	36158
282	14252	36108
283	14302	36058
284	14354	36013
285	14413	35984
286	14460	35925
287	14511	35876
288	14561	35824
289	14612	35774
290	14660	35718
291	14708	35663
292	14757	35610
293	14809	35563
294	14857	35507
295	14906	35452
296	14955	35400
297	15007	35353
298	15054	35295
299	15103	35241
300	15151	35186
301	15200	35132
302	15249	35077
303	15297	35023
304	15351	34980
305	15426	34987
306	15496	34981
307	15543	34923
308	15591	34865
309	15662	34861
310	15751	34896
311	15803	34849
312	15850	34791
313	15905	34748
314	15960	34707
315	16006	34646
316	16055	34592
317	16105	34539
318	16156	34490
319	16204	34434
320	16260	34394
321	16323	34369
322	16386	34346
323	16438	34296
324	16485	34239
325	16533	34182
326	16584	34131
327	16635	34082
328	16682	34023
329	16740	33987
330	16789	33933
331	16840	33884
332	16888	33828
333	16939	33777
334	16988	33723
335	17038	33671
336	17086	33614
337	17136	33563
338	17187	33512
339	17238	33463
340	17288	33411
341	17342	33367
342	17404	33336
343	17451	33279
344	17499	33223
345	17547	33168
346	17599	33119
347	17647	33063
348	17703	33022
349	17754	32972
350	17806	32924
351	17856	32871
352	17904	32816
353	17954	32765
354	18003	32710
355	18050	32653
356	18102	32604
357	18153	32554
358	18201	32498
359	18249	32443
360	18299	32391
361	18362	32361
362	18413	32311
363	18461	32256
364	18512	32205
365	18558	32147
366	18610	32099
367	18660	32046
368	18718	32009
369	18766	31954
370	18816	31901
371	18867	31851
372	18916	31798
373	18971	31754
374	19021	31701
375	19071	31649
376	19124	31603
377	19174	31551
378	19225	31500
379	19274	31448
380	19321	31391
381	19387	31364
382	19436	31311
383	19484	31256
384	19531	31199
385	19580	31145
386	19632	31097
387	19685	31050
388	19738	31003
389	19791	30956
390	19841	30903
391	19888	30846
392	19938	30796
393	19986	30739
394	20036	30688
395	20088	30640
396	20139	30589
397	20189	30537
398	20239	30485
399	20287	30430
400	20350	30398
401	20403	30351
402	20464	30315
403	20515	30265
404	20562	30209
405	20609	30152
406	20662	30104
407	20713	30054
408	20760	29999
409	20809	29944
410	20860	29894
411	20907	29838
412	20956	29786
413	21003	29729
414	21052	29677
415	21102	29624
416	21149	29568
417	21200	29517
418	21247	29462
419	21298	29412
420	21364	29382
421	21414	29331
422	21464	29279
423	21510	29222
424	21559	29168
425	21610	29117
426	21662	29069
427	21715	29021
428	21762	28965
429	21811	28913
430	21861	28860
431	21908	28805
432	21957	28752
433	22009	28703
434	22057	28649
435	22106	28596
436	22152	28540
437	22203	28490
438	22254	28439
439	22303	28386
440	22368	28353
441	22418	28301
442	22466	28247
443	22514	28193
444	22565	28143
445	22616	28093
446	22669	28044
447	22723	27998
448	22773	27946
449	22822	27894
450	22871	27841
451	22918	27785
452	22968	27735
453	23017	27681
454	23067	27630
455	23116	27577
456	23167	27526
457	23219	27477
458	23268	27425
459	23320	27376
460	23381	27337
461	23427	27281
462	23477	27229
463	23532	27183
464	23579	27129
465	23627	27074
466	23680	27027
467	23734	26980
468	23782	26926
469	23830	26872
470	23881	26822
471	23930	26770
472	23979	26717
473	24033	26669
474	24081	26616
475	24129	26563
476	24177	26509
477	24228	26459
478	24278	26407
479	24343	26372
480	24392	26319
481	24444	26269
482	24495	26219
483	24546	26169
484	24592	26114
485	24644	26064
486	24697	26015
487	24747	25964
488	24800	25916
489	24851	25866
490	24898	25811
491	24945	25756
492	24993	25703
493	25045	25653
494	25092	25599
495	25143	25548
496	25192	25496
497	25243	25446
498	25293	25395
499	25359	25359
500	25406	25304
501	25452	25250
502	25503	25199
503	25551	25145
504	25600	25093
505	25651	25043
506	25708	24998
